STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-05-05,0.00,59,70,51
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-05-06,0.00,55,64,50
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-05-07,0.00,57,66,52
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-05-08,0.00,61,79,50
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-05-09,0.00,63,76,54
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-05-10,0.00,62,84,52
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-05-11,0.00,62,72,51
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-05-12,0.00,57,68,50
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-05-13,0.00,57,68,52
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-05-14,0.00,55,61,52
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-05-15,0.00,55,64,52
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-05-16,0.00,58,67,53
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-05-17,0.00,57,62,53
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-05-18,0.00,58,68,54
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-05-19,0.00,57,62,52
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-05-20,0.00,56,65,50
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-05-21,0.00,56,64,51
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-05-22,0.00,58,70,49
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-05-23,0.00,58,65,53
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-05-24,0.00,56,65,51
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-05-25,0.00,59,65,54
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-05-26,0.00,58,66,52
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-05-27,0.00,58,68,53
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-05-28,0.00,61,68,54
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-05-29,0.00,57,60,54
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-05-30,0.00,59,73,53
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-05-31,0.00,62,76,52
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-06-01,0.00,63,72,54
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-06-02,0.00,59,67,53
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-06-03,0.00,60,72,54
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-06-04,0.00,61,68,56
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-06-05,0.00,63,74,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-06-06,0.00,62,73,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-06-07,0.00,60,66,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-06-08,0.00,60,67,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-06-09,0.00,60,67,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-06-10,0.00,61,69,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-06-11,0.00,62,73,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-06-12,0.00,68,78,62
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-06-13,0.00,67,77,57
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-06-14,0.00,68,73,60
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-06-15,0.00,64,74,56
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-06-16,0.00,68,86,58
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-06-17,0.00,71,90,62
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-06-18,0.00,70,84,60
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-06-19,0.00,67,79,60
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-06-20,0.00,65,76,58
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-06-21,0.00,66,75,60
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-06-22,0.00,68,76,64
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-06-23,0.00,68,74,62
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-06-24,0.00,66,75,61
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-06-25,0.00,63,71,58
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-06-26,0.00,63,70,59
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-06-27,0.00,63,71,60
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-06-28,0.00,62,69,59
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-06-29,0.00,63,71,59
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-06-30,0.00,65,72,60
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-07-01,0.00,66,76,61
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-07-02,0.00,66,78,60
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-07-03,0.00,65,75,61
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-07-04,0.00,66,77,60
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-07-05,0.00,65,73,60
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-07-06,0.00,63,69,59
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-07-07,0.00,61,67,57
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2021-07-08,0.00,64,74,59
